id,name,description,projectId,parentId,estimatedHours,isActive,createdAt,updatedAt,recurrence,evaluatedBy,evaluationNotes,evaluatedAt,createdBy,dueDate,isShared,reminderDate,reminderTime,soundEnabled,completedAt,priority,status,hrTimesheetId,complexity,trainingLevel,masteryLevel,understandingLevel,activityType,activityName,periodicity
0DjuMdF0JZAZw7v5STLzG,Courrier / Correspondances,Gestion du courrier et des correspondances,,,2,true,2025-11-18 09:51:55.138,2025-11-18 09:51:55.138,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-11-13 23:00:00,false,,,true,,MEDIUM,DONE,wHBwb-wwh-yWwEhU7nwQG,MOYEN,,,,OPERATIONAL,Courrier / Correspondances,MONTHLY
0GVNPpehpX3xwYXkeiah_,Dossiers du personnel,Récupération des copies des bulletins et des copies de contrat de travail chez Marco,,,3,true,2025-11-13 13:05:15.155,2025-11-13 13:05:15.155,,,,,SbaqoYkhJiwSJ6kiC7UlgqsWXdNVGYWT,2025-11-09 23:00:00,false,,,false,,MEDIUM,DONE,mYc1tcRZHERJt2XApkSEt,MOYEN,,,,OPERATIONAL,Dossiers du personnel,PUNCTUAL
0pXaRCq_juMaSpHK5JUAI,AUTRES - Développement/Learning,"Auto-apprentissage sur le manuel de procédures ",,,2,true,2025-12-09 08:06:05.615,2025-12-09 08:06:05.615,,,,,zT54BfytlJODdWbmeKSVZnQsw2bdlYqX,2025-12-02 23:00:00,false,,,true,,MEDIUM,IN_PROGRESS,uEw2JOGCS48WADhQTjScf,MOYEN,,,,OPERATIONAL,AUTRES - Développement/Learning,PUNCTUAL
1GYVraE11YXccHeO7hvbl,AUTRES - Contrôle et Reporting,Autres activités de contrôle et reporting : Préparation du mémo / Soit transmit,,,0.5,true,2025-12-17 10:34:50.533,2025-12-17 10:34:50.533,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-12-15 23:00:00,false,,,true,,MEDIUM,IN_PROGRESS,cnP49I-MMHv0YbXOBH5KF,MOYEN,,,,REPORTING,AUTRES - Contrôle et Reporting,DAILY
1S25CGWNS8Jl68XHNRmlZ,AUTRES - Administration,"Autres activités administratives : Rédaction de l'offre de stage de Nadia ",,,45,true,2025-11-14 16:47:41.018,2025-11-14 16:47:41.018,,,,,S1SfLojzX9ywijHIQd4Lqftiy72b4cOQ,2025-11-03 23:00:00,false,,,true,,MEDIUM,DONE,zrpTJcysD55vU_AuXgGnH,MOYEN,,,,OPERATIONAL,AUTRES - Administration,PUNCTUAL
1WUH5JXOL8YMq1TdT-e96,AUTRES - Développement/Learning,"Autres activités de développement et formation : Lecture des derniers rapports mensuel ",,,1.5,true,2025-12-01 10:05:18.328,2025-12-01 10:05:18.328,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-11-27 23:00:00,false,,,true,,MEDIUM,DONE,ZeeK_kDoDitp1vamkjtn7,MOYEN,,,,OPERATIONAL,AUTRES - Développement/Learning,PUNCTUAL
25yMYSQlMPV3HUfwrYr7Y,Indicateurs de performance,"Calcul et analyse des indicateurs de performance : Présence au poste des agents ODILLON ",,,0.5,true,2025-12-17 10:44:04.589,2025-12-17 10:44:04.589,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-12-17 10:42:31.21,false,,,true,,MEDIUM,DONE,cnP49I-MMHv0YbXOBH5KF,MOYEN,,,,REPORTING,Indicateurs de performance,DAILY
2BPAbCvu5tZ_MjHqkvEzg,Indicateurs de performance,Liste de présence du 12 novembre 2025,,,0.5,true,2025-11-17 10:00:37.325,2025-11-17 10:00:37.325,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-11-11 23:00:00,false,,,true,,MEDIUM,DONE,wHBwb-wwh-yWwEhU7nwQG,MOYEN,,,,REPORTING,Indicateurs de performance,DAILY
2i2jAT7yxFhH9BljyDT9P,AUTRES - Administration,"Autres activités administratives : 
- Mise à jour du ficher du personnel ( deux nouvelles recrues, changement des dates de fin de CDD pour ceux qui ont été reconduits)
- Correction du fichier des CDD renseignés par Nadia",,,2,true,2025-12-23 11:23:55.84,2025-12-23 11:23:55.84,,,,,S1SfLojzX9ywijHIQd4Lqftiy72b4cOQ,2025-12-16 23:00:00,false,,,true,,MEDIUM,DONE,9GF7wwM4uEzU5qygnazEe,MOYEN,,,,OPERATIONAL,AUTRES - Administration,WEEKLY_MONTHLY
2KlSggyHmwX12uBT_w2Xu,Formation interne Odillon,Prise de connaissance du règlement intérieur du Cabinet ODILLON,,,2,true,2025-11-14 16:37:59.819,2025-11-14 16:37:59.819,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-11-04 23:00:00,false,,,true,,MEDIUM,DONE,AZYp5ertT0TJjycnRm5Mn,MOYEN,,,,OPERATIONAL,Formation interne Odillon,PUNCTUAL
2RweeUqct_NUlFUCCMLdx,Rapport mensuel,"Rapport mensuel d'activité RH mois d'octobre ",,,4,true,2025-11-17 10:55:11.597,2025-11-17 10:55:11.597,,,,,zT54BfytlJODdWbmeKSVZnQsw2bdlYqX,2025-11-02 23:00:00,false,,,false,,MEDIUM,DONE,xBAwVsFoqNocD6ffJlt95,MOYEN,,,,REPORTING,Rapport mensuel,MONTHLY
2xsXrFs0G4VLB4sVblY4E,Rapport mensuel,"Rapport mensuel d'activité RH : Assistance de la clotures des corrections du rapport ",,,2,true,2025-12-23 12:41:51.827,2025-12-23 12:41:51.827,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-12-08 23:00:00,false,,,true,,MEDIUM,DONE,LM_axwne3miKCQhQu9ArD,MOYEN,,,,REPORTING,Rapport mensuel,MONTHLY
3-IHBTqgypobcDbXJEXNt,Variables de la paie,"Suivi et contrôle des variables de paie : 
-  Correction définitive du rapport mensuel d'octobre et impression 
- Revue et mise en forme des fichiers mis en annexe",,,3.5,true,2025-11-18 18:09:07.817,2025-11-18 18:09:07.817,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-11-18 17:57:13.188,false,,,true,,MEDIUM,DONE,et0Iqvfq1iKkM2gUdIOT4,MOYEN,,,,REPORTING,Variables de la paie,MONTHLY
3aTVYELlhGHIBc5up8ixa,Rapport mensuel,Rapport mensuel d'activité RH : Revue complète du rapport mensuel et dernière correction du rapport du mois de novembre,,,4,true,2025-12-09 18:01:37.352,2025-12-09 18:01:37.352,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-12-07 23:00:00,false,,,true,,MEDIUM,DONE,LM_axwne3miKCQhQu9ArD,MOYEN,,,,REPORTING,Rapport mensuel,MONTHLY
3fgAwwOKeueu4O1rRai9O,AUTRES - Contrôle et Reporting,"Autres activités de contrôle et reporting : Réunion des agent du cabinet ODILLON ",,,1.5,true,2025-11-28 08:05:04.252,2025-11-28 08:05:04.252,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-11-26 23:00:00,false,,,true,,MEDIUM,DONE,ZeeK_kDoDitp1vamkjtn7,MOYEN,,,,REPORTING,AUTRES - Contrôle et Reporting,PUNCTUAL
3I5ZBrRqLkpUtK1HPtyKa,Imputation des factures ODILLON,Suivi des dépenses quotidiennes du cabinet,,,2,true,2025-11-22 10:50:36.563,2025-11-22 10:50:36.563,,,,,5CUbS4Ww95utj7iNfbi5WHq8gRcFt1U3,2025-11-21 00:00:00,false,,,true,,MEDIUM,DONE,,MOYEN,,,,OPERATIONAL,AUTRES - Contrôle et Reporting,DAILY
3xcUrcOu0CMaQs4inyQOE,AUTRES - Contrôle et Reporting,Mise à jour du rapport d'analyse de la grille salariale CAISTAB,,,1,true,2025-11-21 13:39:02.163,2025-11-21 13:39:02.163,,,,,zT54BfytlJODdWbmeKSVZnQsw2bdlYqX,2025-11-21 13:37:17.951,false,,,true,,MEDIUM,IN_PROGRESS,VPfxEMuzv9rvRvQGKEzlz,MOYEN,,,,REPORTING,AUTRES - Contrôle et Reporting,WEEKLY
4fxHtgPyuIwEMUmHDBSWP,Dossiers du personnel,Gestion et mise à jour des dossiers du personnel : Revue des dossiers des stagiaire de la CDC,,,1,true,2025-12-17 10:02:47.265,2025-12-17 10:02:47.265,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-12-14 23:00:00,false,,,true,,MEDIUM,IN_PROGRESS,cnP49I-MMHv0YbXOBH5KF,MOYEN,,,,REPORTING,Dossiers du personnel,WEEKLY
4lAJFY3OPkLQs1ayLnsFd,Rapport mensuel,"Rapport mensuel d'activité RH : Rédaction du rapport mensuel du mois de novembre ",,,2,true,2025-12-09 18:19:09.073,2025-12-09 18:19:09.073,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-12-09 18:17:42.97,false,,,true,,MEDIUM,DONE,LM_axwne3miKCQhQu9ArD,MOYEN,,,,REPORTING,Rapport mensuel,MONTHLY
5Hl7xwoSat4fcYuEn5Z6h,AUTRES - Contrôle et Reporting,"Autres activités de contrôle et reporting : Préparation du rapport mensuel individuel  du mois de décembre ",,,1,true,2025-12-23 11:58:30.147,2025-12-23 11:58:30.147,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-12-23 11:56:11.109,false,,,true,,MEDIUM,DONE,cWlBw0hdFeSqS-BiGFPsp,MOYEN,,,,REPORTING,AUTRES - Contrôle et Reporting,MONTHLY
5j3hiUD_P6gT4nXClnVVg,Projet - Odillon,Projets internes Odillon/Tournage et montage video,,,3,true,2025-12-22 12:01:45.494,2025-12-22 12:01:45.494,,,,,5CUbS4Ww95utj7iNfbi5WHq8gRcFt1U3,2025-12-16 23:00:00,false,,,true,,MEDIUM,DONE,9IvRkKN2Z8nko6ZKhAe0q,MOYEN,,,,OPERATIONAL,Projet - Odillon,DAILY
5T7T4rnV_ThZKwo3_B7NX,Dossiers du personnel,"Gestion et mise à jour des dossiers du personnel : Revue des dossiers des employés CDD ",,,1,true,2025-12-17 09:23:56.452,2025-12-17 09:23:56.452,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-12-14 23:00:00,false,,,true,,MEDIUM,DONE,cnP49I-MMHv0YbXOBH5KF,MOYEN,,,,REPORTING,Dossiers du personnel,WEEKLY
5tqSCEEerqzFqUs5ckgA7,AUTRES - Développement/Learning,Optimisation des options de la plateforme Chronodil : Gestion des options liées à la feuille de temps -- Édition base de donnée,,,4,true,2025-11-19 14:50:26.914,2025-11-19 14:50:26.914,,,,,pYcGKxZ2bm6CMreDd4PaXfGdyImop3w3,2025-11-19 14:47:15.325,false,,,true,,MEDIUM,DONE,yRlRbOWTZl9uRHHgWqnbZ,MOYEN,,,,OPERATIONAL,AUTRES - Développement/Learning,WEEKLY
64BMR0oCnvk17MbKhtP8f,Indicateurs de performance,Calcul et analyse des indicateurs de performance : Revue des données renseignées par Nadia,,,0.5,true,2025-12-01 16:45:43.844,2025-12-01 16:45:43.844,,,,,S1SfLojzX9ywijHIQd4Lqftiy72b4cOQ,2025-12-01 16:36:32.231,false,,,true,,MEDIUM,DONE,Mr-_PBQzIS_YYdURIviwl,MOYEN,,,,REPORTING,Indicateurs de performance,WEEKLY_MONTHLY
6d_E8UdBj8XjTAy4l5DG-,AUTRES - Administration,"Établissement des classeurs excel de la nouvelle grille salariale de la CAISTAB 
Catégorie/ Poste ",,,8,true,2025-11-17 08:03:27.127,2025-11-17 08:03:27.127,,,,,zT54BfytlJODdWbmeKSVZnQsw2bdlYqX,2025-11-13 11:42:10.93,false,,,true,,MEDIUM,DONE,EQAMxrtH8ZKV6d98iKlWs,MOYEN,,,,OPERATIONAL,AUTRES - Administration,DAILY
6TaghAbAbSyxFl4GoaV-c,Indicateurs de performance,Liste de présence du 14 novembre 2025,,,0.5,true,2025-11-17 13:00:44.604,2025-11-17 13:00:44.604,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-11-13 23:00:00,false,,,true,,MEDIUM,DONE,wHBwb-wwh-yWwEhU7nwQG,MOYEN,,,,REPORTING,Indicateurs de performance,DAILY
6U1USMJqpna7gAUzU45gg,Formation interne Odillon,"Formations internes organisées par Odillon : Lecture du code du travail ",,,1,true,2025-11-19 16:55:44.698,2025-11-19 16:55:44.698,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-11-17 23:00:00,false,,,true,,MEDIUM,DONE,et0Iqvfq1iKkM2gUdIOT4,MOYEN,,,,OPERATIONAL,Formation interne Odillon,PUNCTUAL
7Ay3YqFK3dOryRXZ4iDkK,Suivi du plan de congé,"Suivi et contrôle du plan de congé : Revue des congés de janvier à juillet 2025 ",,,2.5,true,2025-12-17 09:06:52.057,2025-12-17 09:06:52.057,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-12-14 23:00:00,false,,,true,,MEDIUM,DONE,cnP49I-MMHv0YbXOBH5KF,MOYEN,,,,REPORTING,Suivi du plan de congé,WEEKLY
7BnR1wlEJv6wQlOJGOIMG,Rédaction des fiches d'objectifs,Rédaction des fiches d'objectifs,,,2.5,true,2025-12-10 14:55:56.897,2025-12-10 14:55:56.897,,,,,SbaqoYkhJiwSJ6kiC7UlgqsWXdNVGYWT,2025-12-10 14:53:53.977,false,,,true,,MEDIUM,DONE,S0BsD2Y0Ydqcbn8lcY7_P,MOYEN,,,,OPERATIONAL,Rédaction des fiches d'objectifs,PUNCTUAL
7c8Pl8EMhf-FRVfIPJEgw,Formation interne Odillon,Formations internes organisées par Odillon : sur Chronodil,,,0,true,2025-11-13 12:10:51.095,2025-11-13 12:10:51.095,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-11-09 23:00:00,false,,,true,,MEDIUM,DONE,wHBwb-wwh-yWwEhU7nwQG,MOYEN,,,,OPERATIONAL,Formation interne Odillon,PUNCTUAL
82blfMEaVKN3pbWHZYmx5,AUTRES - Administration,"Autres activités administratives/Suivi des dépenses du cabinet ",,,2,true,2025-12-22 12:04:59.429,2025-12-22 12:04:59.429,,,,,5CUbS4Ww95utj7iNfbi5WHq8gRcFt1U3,2025-12-18 23:00:00,false,,,true,,MEDIUM,IN_PROGRESS,9IvRkKN2Z8nko6ZKhAe0q,MOYEN,,,,OPERATIONAL,AUTRES - Administration,DAILY
84fS0IsBVF4FGt0Vh5ppZ,Variables de la paie,Suivi et contrôle des variables de paie : Contrôle des variables de la paie et rédaction du rapport de contrôle des variables,,,7,true,2025-12-16 07:24:27.4,2025-12-16 07:24:27.4,,,,,S1SfLojzX9ywijHIQd4Lqftiy72b4cOQ,2025-12-11 23:00:00,false,,,true,,MEDIUM,DONE,6lupVCzdVOKuMf6sP4BmU,MOYEN,,,,REPORTING,Variables de la paie,MONTHLY
8fxicfi61qXcht_pk8FRP,AUTRES - Administration,Mise à jour grille d'analyse de la grille salariale de la caistab,,,3,true,2025-11-18 13:24:10.375,2025-11-18 13:24:10.375,,,,,zT54BfytlJODdWbmeKSVZnQsw2bdlYqX,2025-11-18 13:22:28.753,false,,,true,,MEDIUM,IN_PROGRESS,VPfxEMuzv9rvRvQGKEzlz,MOYEN,,,,OPERATIONAL,AUTRES - Administration,WEEKLY
8JvMGMUfbuxcPlhWcFWiO,Indicateurs de performance,Calcul et analyse des indicateurs de performance : Présence au poste des agents ODILLON,,,0.5,true,2025-12-23 11:14:53.099,2025-12-23 11:14:53.099,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-12-08 23:00:00,false,,,true,,MEDIUM,DONE,LM_axwne3miKCQhQu9ArD,MOYEN,,,,REPORTING,Indicateurs de performance,DAILY
8lDIpHXVWeeNzQff6eal5,Déplacement professionnel externe,Déplacement pour mission professionnelle hors de l'entreprise : Mission SEEG,,,1.5,true,2025-11-28 09:47:53.423,2025-11-28 09:47:53.423,,,,,pYcGKxZ2bm6CMreDd4PaXfGdyImop3w3,2025-11-17 23:00:00,false,,,false,,MEDIUM,DONE,-90HwbzlF3pt8Pbl08ACg,MOYEN,,,,OPERATIONAL,Déplacement professionnel externe,PUNCTUAL
8lzckWOpz6D-E5O-aBRMb,Rapport mensuel,Correction définitive du rapport mensuel du mois d'octobre,,,2,true,2025-11-18 10:02:49.566,2025-11-18 10:02:49.566,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-11-16 23:00:00,false,,,false,,MEDIUM,DONE,et0Iqvfq1iKkM2gUdIOT4,MOYEN,,,,REPORTING,Rapport mensuel,MONTHLY
8ud71zkQw9x6UNwBo7YpB,Courrier / Correspondances,Gestion du courrier et des correspondances : Rédaction de l'offre de stage d'alternance et attestation de stage de Abigaël NFONO,,,1,true,2025-11-20 14:53:05.89,2025-11-20 14:53:05.89,,,,,S1SfLojzX9ywijHIQd4Lqftiy72b4cOQ,2025-11-20 10:10:07.824,false,,,true,,MEDIUM,DONE,OL6h2_B4REFKlgq2rad0O,MOYEN,,,,OPERATIONAL,Courrier / Correspondances,PUNCTUAL
9fFPa7Ca1wFN7y28S2qph,AUTRES - Administration,"Passation d'activités avec Karen / transmission des documents (certificat de travail, solde de tout compte, contrôle du fichier de passation et signature dudit document).",,,3,true,2025-11-14 15:34:06.887,2025-11-14 15:34:06.887,,,,,S1SfLojzX9ywijHIQd4Lqftiy72b4cOQ,2025-11-02 23:00:00,false,,,true,,MEDIUM,DONE,zrpTJcysD55vU_AuXgGnH,MOYEN,,,,OPERATIONAL,AUTRES - Administration,PUNCTUAL
9kdJZShYaHSQBp9R9JSgJ,Entretiens de recrutement,"Finalisation du processus de recrutement des Directeurs de la SEEG et Sélection des Directerus externes ",,,2.5,true,2025-12-09 08:39:24.879,2025-12-09 08:39:24.879,,,,,zT54BfytlJODdWbmeKSVZnQsw2bdlYqX,2025-12-08 23:00:00,false,,,false,,MEDIUM,DONE,-fkrgbIWpAflQ3fPhsXWP,MOYEN,,,,OPERATIONAL,Entretiens de recrutement,PUNCTUAL
9l9YigzA0ShfhSNmnp8Fo,AUTRES - Administration,"Mise à jour du concept Monday Motivation ",,,0.5,true,2025-11-28 08:44:27.97,2025-11-28 08:44:27.97,,,,,zT54BfytlJODdWbmeKSVZnQsw2bdlYqX,2025-11-27 23:00:00,false,,,true,,MEDIUM,DONE,pYSVk9do5sGuEtQ4FjTlP,MOYEN,,,,OPERATIONAL,AUTRES - Administration,PUNCTUAL
9tEwgaLduNonkeIzm5zi8,Suivi du plan de congé,"Suivi et contrôle du plan de congé : Reclassement des congés sectionnés ",,,2,true,2025-12-19 10:35:36.62,2025-12-19 10:35:36.62,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-12-17 23:00:00,false,,,true,,MEDIUM,DONE,cnP49I-MMHv0YbXOBH5KF,MOYEN,,,,REPORTING,Suivi du plan de congé,WEEKLY
9UuGzBp8_3y0WbEoYMP6u,Indicateurs de performance,Calcul et analyse des indicateurs de performance : Présence au poste des agents ODILLON,,,0.5,true,2025-12-29 10:38:26.947,2025-12-29 10:38:26.947,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-12-28 23:00:00,false,,,false,,MEDIUM,DONE,ls6wx9_8QP5-3Xbu7eCyJ,MOYEN,,,,REPORTING,Indicateurs de performance,DAILY
9vO-qNXjJ-TTan8Smwg5F,AUTRES - Administration,"Autres activités administratives : Rédaction du rapport d'activité du mois de novembre ",,,1.5,true,2025-12-09 18:17:39.213,2025-12-09 18:17:39.213,,,,,S1SfLojzX9ywijHIQd4Lqftiy72b4cOQ,2025-12-09 18:16:05.013,false,,,true,,MEDIUM,DONE,6lupVCzdVOKuMf6sP4BmU,MOYEN,,,,OPERATIONAL,AUTRES - Administration,MONTHLY
AdpvUy8KoB-26y0SX8Bvj,AUTRES - Développement/Learning,"Autres activités de développement et formation : Lecture des différents compte rendu ",,,1,true,2025-12-23 10:11:10.673,2025-12-23 10:11:10.673,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-12-21 23:00:00,false,,,true,,MEDIUM,DONE,cWlBw0hdFeSqS-BiGFPsp,MOYEN,,,,OPERATIONAL,AUTRES - Développement/Learning,PUNCTUAL
ahfaXk8yINmuDUBW9edJl,AUTRES - Administration,Autres activités administratives: contrats d'objectifs,,,4,true,2025-12-09 15:34:57.577,2025-12-09 15:34:57.577,,,,,SbaqoYkhJiwSJ6kiC7UlgqsWXdNVGYWT,2025-12-09 15:30:12.277,false,,,true,,MEDIUM,IN_PROGRESS,S0BsD2Y0Ydqcbn8lcY7_P,MOYEN,,,,OPERATIONAL,AUTRES - Administration,PUNCTUAL
AhXgY9F0jTqGR97NHbj_0,AUTRES - Administration,Installation et Rangement du bureau ODILLON à Kazzet,,,3,true,2025-11-14 16:13:22.141,2025-11-14 16:13:22.141,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-11-02 23:00:00,false,,,true,,MEDIUM,DONE,AZYp5ertT0TJjycnRm5Mn,MOYEN,,,,OPERATIONAL,AUTRES - Administration,PUNCTUAL
aMw1h8Q3MDVASL8FY9gZ4,AUTRES - Administration,Autres activités administratives: Mise à jour du plan d'actions ODILLON,,,1.5,true,2025-12-01 14:11:20.885,2025-12-01 14:11:20.885,,,,,SbaqoYkhJiwSJ6kiC7UlgqsWXdNVGYWT,2025-12-01 14:05:43.466,false,,,true,,MEDIUM,DONE,q-45gsy2zaVvh5S-4CljW,MOYEN,,,,OPERATIONAL,AUTRES - Administration,PUNCTUAL
aX1yy4Y6e9GCc4QC_eCWO,Formation interne Odillon,Formation interne organisée par Odillon : Mode d' emploi de l'application chronodil,,,8,true,2025-11-13 13:00:47.939,2025-11-13 13:00:47.939,,,,,GdwpHOgPdwWSgNnWSjHG5v0llqBVbKtg,2025-11-05 23:00:00,false,,,true,,MEDIUM,DONE,AZYp5ertT0TJjycnRm5Mn,MOYEN,,,,OPERATIONAL,Formation interne Odillon,PUNCTUAL
b0bhhXnip3CJN3djnPMef,Rapport mensuel,Rapport mensuel d'activité RH : Correction et revue complète du rapport mensuel du mois de novembre,,,4,true,2025-12-09 18:13:19.147,2025-12-09 18:13:19.147,,,,,S1SfLojzX9ywijHIQd4Lqftiy72b4cOQ,2025-12-07 23:00:00,false,,,false,,MEDIUM,DONE,6lupVCzdVOKuMf6sP4BmU,MOYEN,,,,REPORTING,Rapport mensuel,MONTHLY
B2UX3tqbeXdTrY19nWqbm,Rapport mensuel,"Rapport mensuel d'activité RH : Finalisation du rapport mensuel ",,,4,true,2025-12-01 14:53:27.189,2025-12-01 14:53:27.189,,,,,S1SfLojzX9ywijHIQd4Lqftiy72b4cOQ,2025-11-25 23:00:00,false,,,true,,MEDIUM,IN_PROGRESS,IhvwGsOXDKksbHczStnBR,MOYEN,,,,REPORTING,Rapport mensuel,MONTHLY
